Depth,XRF/Hardness Sample #,Sample Location Quality,LWIR 1,LWIR 2,LWIR 3,LWIR 4,LWIR 5,LWIR 6,LWIR 7,LWIR 8,LWIR 9,LWIR 10,LWIR 11,LWIR 12,LWIR 13,LWIR 14,LWIR 15,LWIR 16,LWIR 17,LWIR 18,LWIR 19,LWIR 20,SWIR 1,SWIR 3,SWIR 4,SWIR 5,SWIR 6,SWIR 7,SWIR 8,SWIR 9,SWIR 10,SWIR 11,SWIR 12,SWIR 13,SWIR 14,SWIR 15,SWIR 16,SWIR 17,SWIR 18,SWIR 20,HLD,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ba,Pb,Th,U
43.800682,416,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.88888889,0,11.11111111,0,0,33.33333333,0,0,0,22.22222222,44.44444444,0,0,0,0,0,0,0,0,0,0,0,0,833,0,2.0178,2.9601,31.6893,0.1023,0.4165,0.0185,2.551,5.6428,0.2375,0.0036,0.003,0.4812,1.2313,0.0005,0.0009,0.0017,0.0028,0.0011,0.0005,0,0.0059,0.0065,0.0024,0.0365,0.0008,0.0018,0.0231,0,0,0.0005
43.910698,417,GOOD,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,0,0,88.88888889,0,0,0,0,0,0,0,22.22222222,0,77.77777778,0,0,0,0,0,0,0,0,0,0,0,0,761,0,2.7844,2.1699,30.5318,0.0826,0.3676,0,1.7772,7.2072,0.1514,0.0032,0,0.6274,1.1713,0.0004,0.0009,0,0.0014,0.0003,0.0002,0.0002,0.0039,0.0065,0.0016,0.0195,0.0005,0.001,0.0185,0,0,0
44.003775,418,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22222222,0,55.55555556,22.22222222,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,786,0,2.4885,3.5541,30.5703,0.0942,0.5501,0,2.7601,5.4316,0.2126,0.0047,0.0017,0.464,1.4647,0.0005,0.0015,0.0009,0.002,0.001,0.0004,0,0.0071,0.0068,0.002,0.0211,0.001,0.001,0.0261,0.0017,0.0008,0.0003
44.100062,419,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,66.66666667,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,0,3.4398,1.4712,27.602,0.279,0.277,0,1.235,9.6931,0.2001,0.0016,0.0018,0.8565,1.1535,0.0003,0.0009,0.0006,0.0015,0.0004,0,0,0.0025,0.0098,0.0024,0.0472,0.0008,0.0027,0.0173,0,0,0
44.196348,420,GOOD,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,0,0,44.44444444,0,22.22222222,22.22222222,0,0,0,0,0,22.22222222,55.55555556,22.22222222,0,0,0,0,0,0,0,0,0,0,0,773,0.0174,2.1083,3.5175,30.1694,0.1189,0.5737,0,2.825,5.1261,0.2376,0.0031,0.0032,0.4137,1.444,0.0006,0.001,0.0008,0.0033,0.0012,0.0004,0,0.0075,0.0081,0.0027,0.0361,0.0008,0.0019,0.0186,0.0009,0.0008,0.001
44.289425,421,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,11.11111111,55.55555556,0,0,11.11111111,0,11.11111111,44.44444444,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,785,0,2.3406,3.4447,31.1114,0.0872,0.3624,0.0287,2.5415,5.3831,0.1773,0.0036,0,0.4325,1.1295,0.0004,0.0012,0.0003,0.0025,0.0007,0.0003,0,0.0063,0.0067,0.0022,0.0211,0.0007,0.0009,0.0202,0,0.001,0.0009
44.387851,422,GOOD,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,0,0,0,0,88.88888889,0,0,0,0,0,0,44.44444444,55.55555556,0,0,0,0,0,0,0,0,0,0,0,0,839,0.3767,2.1401,4.0613,29.059,0.1241,0.6776,0,3.0408,4.4571,0.2548,0.0062,0.0045,0.362,1.6335,0.0005,0.0021,0.001,0.0056,0.0013,0.0006,0,0.0088,0.0065,0.0025,0.0238,0.0008,0.0009,0.0285,0.0011,0.0009,0.001
44.486278,423,GOOD,0,0,0,0,0,0,0,0,0,44.44444444,0,0,0,0,0,0,0,11.11111111,44.44444444,0,0,0,0,0,0,88.88888889,11.11111111,0,0,0,0,0,0,0,0,0,0,0,808,0,2.1134,2.6887,31.0187,0.1088,0.4506,0,2.4244,5.4793,0.1807,0.0047,0.0026,0.4021,1.1844,0.0004,0.001,0.0008,0.0029,0.0007,0.0002,0,0.0057,0.0067,0.002,0.0211,0.0006,0.0011,0.0212,0.0008,0.0006,0.0007
44.579355,424,GOOD,0,0,0,0,0,11.11111111,0,0,0,44.44444444,0,0,0,0,11.11111111,11.11111111,11.11111111,0,11.11111111,0,0,0,0,0,11.11111111,33.33333333,55.55555556,0,0,0,0,0,0,0,0,0,0,0,867,0.7524,2.0797,3.7788,25.5571,0.1171,0.6681,0.0112,3.0269,4.3772,0.2405,0.007,0.0061,0.3509,1.7918,0.0005,0.0017,0.0026,0.0091,0.0014,0.0005,0,0.01,0.0069,0.0027,0.0199,0.001,0.0009,0.0276,0.001,0.0004,0.0009
44.666012,425,GOOD,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,22.22222222,33.33333333,11.11111111,0,0,0,0,0,0,0,44.44444444,55.55555556,0,0,0,0,0,0,0,0,0,0,0,781,0.2528,2.3861,4.8197,28.9485,0.141,0.8903,0,3.3751,4.2714,0.2837,0.0059,0.0045,0.3751,2.0661,0.0008,0.0025,0.0015,0.0028,0.0013,0.0007,0,0.0095,0.0071,0.0026,0.0201,0.0009,0.0009,0.0286,0.0023,0.0005,0.0008
44.762299,426,GOOD,0,0,0,0,0,0,0,0,0,55.55555556,0,0,0,0,0,0,11.11111111,22.22222222,11.11111111,0,0,0,0,0,11.11111111,77.77777778,11.11111111,0,0,0,0,0,0,0,0,0,0,0,806,0.6134,2.0989,5.2388,27.3707,0.1262,0.9013,0,3.7874,3.556,0.2967,0.0063,0.0061,0.2956,2.1512,0.0008,0.0025,0.0016,0.0035,0.0021,0.0009,0,0.0115,0.0068,0.003,0.0191,0.001,0.001,0.0252,0,0.0005,0.0009
44.863935,427,GOOD,0,0,0,0,0,0,0,0,0,22.22222222,0,0,0,0,0,55.55555556,0,11.11111111,11.11111111,0,0,0,0,0,22.22222222,22.22222222,55.55555556,0,0,0,0,0,0,0,0,0,0,0,764,0,2.6589,2.896,30.5949,0.139,0.5416,0,2.3998,6.9109,0.1772,0.0032,0,0.5252,1.4464,0.0006,0.0013,0.0009,0.0022,0.0006,0.0003,0,0.0054,0.0076,0.0021,0.0211,0.0005,0.0011,0.0219,0.0006,0.0003,0.0004
44.960221,428,GOOD,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,0,11.11111111,0,33.33333333,22.22222222,0,0,0,0,0,0,22.22222222,44.44444444,33.33333333,0,0,0,0,0,0,0,0,0,0,0,765,0,2.7135,2.4663,30.8215,0.0888,0.4252,0,2.0835,7.2575,0.1758,0.0051,0,0.5629,1.2245,0.0004,0.001,0.0003,0.0031,0.0004,0.0004,0,0.0044,0.0066,0.0019,0.0258,0.0006,0.0014,0.02,0,0.0004,0
45.090743,429,GOOD,0,0,66.66666667,0,0,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44444444,55.55555556,0,0,0,0,0,0,0,0,0,0,0,0,782,0.6134,2.7421,4.9581,25.6745,0.1461,1.0284,0,3.4504,4.6904,0.2938,0.0057,0.0047,0.3975,2.334,0.0009,0.0023,0.0015,0.0035,0.0013,0.0008,0.0003,0.0103,0.0072,0.0031,0.02,0.0009,0.001,0.0287,0.0016,0.0011,0.0009
45.18168,430,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44444444,11.11111111,11.11111111,0,0,33.33333333,0,0,0,0,44.44444444,44.44444444,11.11111111,0,0,0,0,0,0,0,0,0,0,0,772,0,3.0265,2.6075,27.2699,0.098,0.7045,0,1.9905,7.0142,0.1989,0.0049,0,0.5696,1.7298,0.0006,0.0015,0.0007,0.0018,0.0009,0.0006,0,0.0053,0.0068,0.0021,0.0252,0.0006,0.0012,0.0181,0.0019,0.0004,0
45.275827,431,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22222222,55.55555556,0,0,0,22.22222222,0,0,0,0,33.33333333,44.44444444,22.22222222,0,0,0,0,0,0,0,0,0,0,0,790,0.1789,3.0664,2.4549,26.7216,0.0755,0.5108,0,1.9462,7.3019,0.1669,0.0047,0,0.591,1.4499,0.0004,0.0011,0.0006,0.0016,0.0009,0.0005,0,0.0053,0.0064,0.0019,0.0193,0.0008,0.0011,0.0208,0.0015,0.0005,0.0004
45.374253,432,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,66.66666667,33.33333333,0,0,0,0,0,0,0,0,0,0,0,803,0,3.6413,0.7658,19.7974,0.1306,0.8118,0,0.9105,10.3166,0.088,0.002,0,0.7666,1.7866,0.0003,0.0019,0.0008,0.0014,0.0002,0.0008,0,0.0025,0.0103,0.0015,0.0175,0,0.0011,0.0079,0,0,0
45.470539,433,GOOD,0,0,55.55555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44444444,0,0,0,0,0,0,66.66666667,33.33333333,0,0,0,0,0,0,0,0,0,0,0,762,0,2.3927,5.5182,27.1865,0.1949,1.1961,0,3.9647,4.0034,0.3191,0.0066,0.0052,0.3633,2.4985,0.0011,0.0021,0.0023,0.0055,0.0017,0.001,0,0.0117,0.0087,0.0032,0.0193,0.001,0.0008,0.0266,0.0022,0.0007,0.0006
45.567896,434,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.77777778,0,0,0,22.22222222,0,0,0,0,0,77.77777778,22.22222222,0,0,0,0,0,0,0,0,0,0,0,781,0,2.5665,3.3385,30.4743,0.1257,0.6183,0,2.5336,5.6595,0.2293,0.0023,0.0017,0.5013,1.6333,0.0007,0.0015,0.001,0.0038,0.0008,0.0003,0,0.0065,0.0066,0.0025,0.0235,0.0009,0.0014,0.0174,0.0016,0.0008,0.0006
45.657763,435,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,0,2.0675,3.9488,26.4132,0.1174,0.8733,0,2.7863,6.8635,0.2866,0.0041,0.0029,0.4487,2.1147,0.0007,0.0025,0.0009,0.0132,0.0012,0.0008,0,0.0091,0.0093,0.0027,0.0185,0.0011,0.0009,0.0255,0.001,0.0003,0.001
45.767958,436,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.77777778,22.22222222,0,0,0,0,11.11111111,88.88888889,0,0,0,0,0,0,0,0,0,0,0,0,834,0,2.3506,3.4371,28.5132,0.3033,0.7666,0,2.5837,5.8598,0.2274,0.0026,0,0.499,1.7902,0.0006,0.0018,0.001,0.0065,0.0008,0.0006,0,0.0066,0.0088,0.0031,0.0232,0.0009,0.0008,0.0238,0.0015,0.0006,0.0005
45.862104,437,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,33.33333333,0,55.55555556,0,11.11111111,0,0,0,0,0,0,0,0,0,794,0,3.2747,2.7291,26.5422,0.1388,0.5639,0,2.1561,7.4147,0.1952,0.002,0.0019,0.7134,1.6095,0.0005,0.0015,0.0007,0.0216,0.0009,0.0005,0,0.0058,0.0073,0.0024,0.0206,0.0009,0.001,0.0231,0,0.0004,0
45.960531,438,GOOD,0,0,0,0,0,0,0,0,0,22.22222222,0,0,0,0,0,0,0,33.33333333,11.11111111,33.33333333,0,0,0,0,22.22222222,66.66666667,11.11111111,0,0,0,0,0,0,0,0,0,0,0,842,0,2.1869,3.0903,28.0128,0.1172,0.5677,0,2.5917,5.4662,0.2175,0.004,0.0045,0.4874,1.5335,0.0005,0.0017,0.0008,0.0044,0.0009,0.0004,0,0.0068,0.0067,0.0024,0.025,0.0008,0.0013,0.0213,0.0016,0.0004,0.001
46.058957,439,GOOD,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,0,0,0,0,0,77.77777778,11.11111111,0,0,0,0,11.11111111,44.44444444,44.44444444,0,0,0,0,0,0,0,0,0,0,0,804,0,2.2802,4.4781,27.0001,0.1575,0.8909,0,3.1544,4.0095,0.2844,0.0077,0.0031,0.3734,2.0063,0.0007,0.0015,0.0013,0.0045,0.0015,0.0009,0,0.0092,0.0068,0.0027,0.0219,0.0008,0.0011,0.0249,0,0.0005,0
46.149894,440,GOOD,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,0,0,0,0,0,44.44444444,44.44444444,0,0,0,0,11.11111111,44.44444444,44.44444444,0,0,0,0,0,0,0,0,0,0,0,751,0,3.6007,2.6514,32.1993,0.1548,0.3426,0,2.1853,8.7953,0.1434,0.005,0,0.8185,1.3221,0.0005,0.0014,0.0008,0.0031,0.0005,0.0002,0,0.0042,0.0068,0.0019,0.0173,0.0003,0.0005,0.0194,0,0,0
46.244041,441,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.77777778,0,0,0,22.22222222,0,0,0,11.11111111,0,55.55555556,11.11111111,0,22.22222222,0,0,0,0,0,0,0,0,0,800,0,2.7223,2.8724,29.9384,0.1155,0.5072,0,2.3346,6.6243,0.1888,0.002,0,0.5869,1.4172,0.0005,0.0013,0.0007,0.0032,0.0009,0.0005,0,0.0058,0.0069,0.002,0.0208,0.0005,0.0008,0.0207,0,0.0004,0.0009
46.378843,442,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,55.55555556,0,0,44.44444444,0,0,0,0,0,0,11.11111111,0,11.11111111,77.77777778,0,0,0,0,0,0,0,0,0,0,0,0,773,0,2.39,4.8304,31.4422,0.1474,0.7827,0,3.6577,4.667,0.2725,0.0059,0.0046,0.4116,1.9015,0.0009,0.0019,0.0016,0.0026,0.0015,0.0006,0,0.0096,0.0072,0.0027,0.0217,0.0009,0.0009,0.0278,0.0017,0.0009,0.001
46.488901,443,GOOD,0,0,22.22222222,0,0,0,0,0,0,0,0,0,11.11111111,0,0,66.66666667,0,0,0,0,0,0,0,0,22.22222222,66.66666667,0,0,11.11111111,0,0,0,0,0,0,0,0,0,795,0,3.144,2.3291,30.9432,0.0769,0.3526,0,1.8133,8.2352,0.1706,0.0019,0,0.7644,1.3251,0.0005,0.001,0,0.0017,0.0004,0.0004,0,0.0038,0.0068,0.0016,0.0178,0.0005,0.0009,0.0107,0,0,0.0003
46.682865,445,GOOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.66666667,0,0,33.33333333,0,0,0,44.44444444,11.11111111,11.11111111,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,825,0,3.7371,2.2559,30.7557,0.102,0.2817,0,1.8364,9.697,0.1567,0.0023,0,0.9532,1.1591,0.0004,0.0012,0.0005,0.0017,0.0003,0.0001,0,0.0032,0.0066,0.0017,0.0217,0.0004,0.0011,0.0167,0.0009,0.0007,0
